time,rain (mm),wind_speed_10m (km/h),Temperature,cloud_cover (%)
1980-01-01T09:00,0,12.3,25.1,5
1980-01-01T10:00,0,14.3,24.9,8
1980-01-01T11:00,0,14.2,24.3,22
1980-01-01T12:00,0,11.3,23.3,30
1980-01-01T13:00,0,8.5,21.6,82
1980-01-01T14:00,0,8.5,20.4,100
1981-09-17T09:00,0,8,28.8,50
1981-09-17T10:00,0,0.8,28.9,31
1981-09-17T11:00,1.6,4.8,27.5,54
1981-09-17T12:00,1.1,9.1,26,42
1981-09-17T13:00,0.3,6.4,24.3,77
1981-09-17T14:00,0.5,3.9,23.5,72
1981-09-17T15:00,0.8,2.8,23,46
1981-09-17T16:00,0.4,2.2,22.8,38
1981-09-17T17:00,0,1.5,22.5,26
1990-06-02T05:00,0,15.7,26.8,61
1990-06-02T06:00,0.1,16.5,27.9,48
1990-06-02T07:00,0.2,17.4,28.9,63
1990-06-02T08:00,0.4,17.6,29,59
1990-06-02T09:00,0.6,17.9,27.7,65
1990-06-02T10:00,0.6,17.7,27.1,92
1990-06-02T11:00,0.2,16.3,26.5,91
1990-06-02T12:00,0,14.3,26.1,86
1991-12-21T16:00,0,6.7,18.5,0
1991-12-21T17:00,0,4.9,16.9,0
1991-12-21T18:00,0,4.7,16.2,0
1991-12-21T19:00,0,4.1,16,0
1991-12-21T20:00,0,2.3,16.3,0
1991-12-21T21:00,0,2.9,16.1,0
1991-12-21T22:00,0,3.9,15.9,0
1991-12-21T23:00,0,1.4,15.7,0
1991-12-22T00:00,0,0.7,15.5,0
1991-12-22T01:00,0,1.8,15.2,0
1991-12-22T02:00,0,2.6,15.2,0
1991-12-22T03:00,0,2.4,16.7,0
1991-12-22T04:00,0,1.5,20.5,0
1991-12-22T05:00,0,0.4,23.2,0
2019-03-25T02:00,0,6,22.4,0
2019-03-25T03:00,0,4.7,26.7,0
2019-03-25T04:00,0,8.3,30.2,0
2019-03-25T05:00,0,11.9,32.9,0
2019-03-25T06:00,0,10.8,34.8,0
2019-03-25T07:00,0,4.5,35.9,10
2019-03-25T08:00,0,3.7,36.3,21
2019-03-25T09:00,0,4.7,36.2,23
2019-03-25T10:00,0,1.5,36.3,21
2019-03-25T11:00,0,3.3,36.2,22
2019-03-25T12:00,0,4.1,35.9,11
2019-03-25T13:00,0,12,32.6,10
2019-03-25T14:00,0,14.3,30.7,10
2019-03-25T15:00,0,13.9,28.9,16
2019-03-25T16:00,0,16,28.1,23
2019-03-25T17:00,0,16,27.7,22
2019-03-25T18:00,0,14.8,26.7,22
2021-07-30T06:00,0.1,32.5,25.6,97
2021-07-30T07:00,0.4,33.1,25.5,96
2021-07-30T08:00,0.1,33,25.3,100
2021-07-30T09:00,0.7,29.5,25,98
2021-07-30T10:00,0.2,34.3,24.9,76
2021-07-30T11:00,0.1,34.8,24.9,100
2021-07-30T12:00,0.2,26.2,24,99
2021-07-30T13:00,0.1,21.2,23.3,70
2021-07-30T14:00,0.1,25.2,23.1,100
2021-07-30T15:00,0,25.5,23,73
2021-07-30T16:00,0,25.6,23,73
2021-07-30T17:00,0,24.9,22.9,77
2021-07-30T18:00,0,25.2,22.9,64
2021-07-30T19:00,0,24.5,22.7,59
2021-07-30T20:00,0,25.6,22.5,54
2021-07-30T21:00,0,24.4,22.5,46
2024-05-26T06:00,0,19.8,34.2,12
2024-05-26T07:00,0,20.1,35.8,3
2024-05-26T08:00,0,21.3,36.5,0
2024-05-26T09:00,0,21.3,36.4,4
2024-05-26T10:00,0,20,35.6,17
2024-05-26T11:00,0,22.1,33.9,21
2024-05-26T12:00,0,19.8,32.5,20
2024-05-26T13:00,0,18.4,30.7,2
2024-05-26T14:00,0,15.4,29.2,6
2024-05-26T15:00,0,13.7,27.9,22
2024-05-26T16:00,0,13.7,26.8,62
2024-05-26T17:00,0,17.9,26.4,43
2024-05-26T18:00,0,17.4,26.2,76
2024-05-26T19:00,0,17.4,26.1,100
2024-05-26T20:00,0,14.8,25.7,100
2024-05-26T21:00,0,18.6,25.6,100
2024-05-26T22:00,0.2,19.1,25.3,96
2024-05-26T23:00,0.1,21.2,25.3,95
2024-05-27T00:00,0,19,25.4,69
2024-05-27T01:00,0,20.9,26.3,84
2024-05-27T02:00,0,21.6,27,51
