Rainmm,WindSpeedkmPerH,TemperatureDegreeCelcius,CloudCoverPercentage,Snowfallcm
0,23.8,2.8,94,0
0,23.3,2.8,77,0
0,22.5,2.7,91,0
0,22.4,3,96,0
0.1,22.6,2.8,100,0
0.2,23.5,2.8,98,0
0.2,23.7,2.7,100,0
1,22.3,2.2,100,0
0.2,24.6,2.6,100,0
0.1,25.4,2.7,100,0
0.2,25.3,3,100,0
0.2,23.4,3.1,100,0
0.2,25.9,3,100,0
0.5,24.3,3.4,70,0
0.2,20.2,3,96,0
0.2,20.3,2.4,100,0
0.3,18.3,2.4,100,0.28
0.1,20.3,2.5,80,0.07
0.3,18.3,2,69,0.42
0.2,17.4,1.8,69,0
0.1,16.8,1.2,77,0
0,15.9,1,90,0
0,15,0.9,100,0
0,14.7,1,100,0
0,14.8,1.2,100,0
0,16.6,1.7,100,0
0.1,16.9,2,100,0
0.2,20.2,2.2,100,0
0.6,21,2.5,100,0
1.1,22.5,2.5,100,0
1.4,23.3,2,100,0.63
0.7,24.4,1.3,100,1.26
0.3,27.2,0.9,100,1.75
0.5,25.2,1.2,100,0.56
0.6,20.1,2.5,100,0
0.7,16.3,4.2,100,0
0.6,21.9,5.9,100,0
0.8,19.6,5.8,100,0
0.8,22.1,5.9,100,0
0.8,23,5.6,100,0
1.2,23.8,5.3,100,0
0.9,22.6,5.2,100,0
1.4,21.1,5.4,100,0
2,23.4,5.8,100,0
3.1,25.2,5.9,100,0
2.4,26.5,6.2,100,0
0.3,29.6,6.7,99,0
0.6,30.9,6.4,100,0
0.5,29.7,6.1,93,0
0.3,29.6,6.1,76,0
0.5,29.2,5.9,51,0
1.2,27.6,5.4,83,0
0.6,27.7,5.2,79,0
0.2,27.6,5,86,0
0.1,25.6,4.8,90,0
0.1,24.5,4.7,100,0
0.1,24.2,4.9,99,0
0.1,25.2,5.2,100,0
0.6,24.7,5.1,100,0
1.2,28.1,5.2,100,0
1.7,23.9,4.9,100,0
0.8,27.5,5.7,100,0
0.1,21.4,5.6,89,0
0.8,21.3,5.2,100,0
0.2,24.9,5.1,100,0
0.5,16.8,4.7,100,0
0.1,22.1,4.7,100,0
0.6,20.9,4.6,100,0
0.5,20.4,4.4,100,0
0.3,21.4,4.4,100,0
0.3,19.9,4.1,100,0
0.3,19.7,4.2,100,0
1.9,17.4,3.8,100,0
0.3,22.3,4.3,100,0
0.6,25.6,4,100,0
0.3,24.1,3.8,100,0
0.3,21.7,3.6,100,0
0.1,25.8,3.3,100,0
0.2,28.7,2.7,100,0
0.1,26.6,2,100,0
0.1,26,1.9,100,0
0.1,24.9,1.8,100,0
0.1,23.9,1.7,100,0
0.1,22.4,1.5,100,0
0,20.1,1.5,100,0
0,19.8,2.2,100,0
0,15.3,2,100,0
0,11.6,1.5,100,0
0,8.4,1.1,100,0
0.1,5.3,0.8,100,0.07
0,1.8,0.7,100,0.14
0.2,1.8,0.9,100,0.07
0.3,3.3,1.2,100,0.14
0.4,5.7,1.6,100,0
0.1,8,2,100,0
0,11.1,2.3,100,0
0,9.3,2.5,100,0
0,10.4,2.2,100,0
0.2,11.6,2.2,100,0
0.6,13.4,2.5,100,0
1,17.5,3,100,0
0.2,18.4,3,100,0
0.2,16.8,3,100,0
0.2,16.7,3.2,96,0
0,17.9,3.5,98,0
0,19.2,3.3,100,0
0,18,4,99,0
0,18.7,4.3,100,0
0.1,19.4,4.6,96,0
0.1,21.1,4.8,100,0
0,17.2,4.6,99,0
0.1,17.5,4.2,100,0
0.2,17,3.4,100,0
0.1,16.4,3.2,70,0
0,14.8,2.8,92,0
0,14.6,2.8,100,0
0,12.8,2.5,92,0
0.1,13.4,2.2,89,0
0.1,11.9,2.2,100,0
0.2,11.2,2.2,100,0
0.1,10.5,2.2,100,0
0,10.8,2.2,98,0
0,10.4,1.9,99,0
0,8,1.5,100,0
0,7.6,1.9,100,0
0,8,2.1,100,0
0,7,1.8,100,0
0,5,1.5,100,0
0,4.6,1.6,100,0
0,4.3,2.5,100,0
0,4.1,3.3,100,0
0,5.2,3.6,100,0
0,3.6,3.5,100,0
0.2,2.5,2.7,100,0
0.2,2.2,2.5,100,0
0.1,2.5,2.4,100,0
0.1,4.1,2,100,0
0,5,1.6,100,0
0.2,7.1,0.9,100,0.21
0.1,7.9,0.3,100,0.35
0,7.8,-0.2,100,0.21
0,8.6,-0.6,100,0.14
0,9.2,-1.2,100,0.7
0,10.6,-1.9,100,0.07
0,11.2,-2.5,100,0.14
0,13.1,-2.3,100,0.07
0,14.4,-2.8,100,0.14
0,15.4,-3.3,100,0.14
0,18.5,-3.8,100,0.21
0,17.7,-4,100,0.07
0,19.4,-4.7,100,0
0,20.3,-5.1,100,0
0,19.4,-5.7,100,0
0,19.1,-5.9,100,0
0,21,-5.5,100,0
0,21.6,-5.1,100,0
0,23.1,-4.5,100,0
0,22.4,-5.5,100,0
0,22,-5.2,100,0
0,21,-5.2,100,0
0.1,20.4,-4.9,100,0
0,19.8,-4.8,100,0.07
0,19.6,-5.1,100,0.07
0,20,-5.4,100,0.07
0,19.1,-5.6,100,0.07
0,18.1,-5.6,100,0.07
0,16.3,-5.8,100,0.07
0.1,13.8,-5.7,100,0.07
0.1,14.3,-5.4,100,0.14
0,20.1,-5.7,100,0.07
0,20.7,-6,100,0.07
0,23.7,-6.3,100,0.07
0,29.4,-6.7,82,0.07
0,28.3,-8.1,93,0
0,26,-9.3,72,0
0,21.5,-10.4,65,0
0,19.7,-10.4,77,0
0,18.5,-9.6,48,0
0,18,-8.8,2,0
0,17.1,-7.8,0,0
0,16.4,-7.1,0,0
0,15.4,-7.5,15,0
0,15.9,-7.9,2,0
0,16.4,-8.8,3,0
0,19.9,-9.2,0,0
0,19,-9.1,0,0
0,14.8,-8.9,6,0
0,12.4,-8.8,4,0
0,10.5,-8.8,0,0
0,10.9,-8.8,0,0
0,10.5,-8.8,0,0
0,9.6,-8.9,0,0
0,9.4,-9.1,0,0
0,8.3,-9.3,4,0
0,7.8,-9.2,0,0
0,7.2,-9.1,0,0
0,7,-9.2,0,0
0,7.1,-9.1,0,0
0,8.5,-8.6,0,0
0,9.1,-8.2,0,0
0,9.1,-7.6,0,0
0,12.9,-5.3,0,0
0,6.8,-3.1,0,0
0,6,-1.6,0,0
0,6.9,-0.9,0,0
0,8.4,-1.4,0,0
0,8.9,-2.7,0,0
0,11.4,-4.8,0,0
0,11.6,-5.8,0,0
0,11.4,-5.7,0,0
0,9.9,-5.8,0,0
0,9.1,-5.8,0,0
0,8.3,-5.8,0,0
0,7.6,-5.8,0,0
0,8.7,-5.3,0,0
0,8.3,-5,0,0
0,6.8,-5.5,0,0
0,7.2,-6.8,0,0
0,6.6,-6.9,0,0
0,7,-6.4,0,0
0,6.6,-6.3,0,0
0,6.1,-6.8,0,0
0,5.8,-6.9,0,0
0,6.2,-6.8,0,0
0,5.9,-5.9,0,0
0,6.7,-2.1,0,0
0,4.6,-0.1,0,0
0,2.6,1.2,0,0
0,2.5,1.6,0,0
0,1.8,0.9,0,0
0,1.6,-0.2,0,0
0,4.9,-1.6,0,0
0,5.9,-5.8,0,0
0,5,-5.7,0,0
0,4.8,-5.9,0,0
0,4.5,-5.9,0,0
0,3.9,-6.2,0,0
0,5.2,-6.8,0,0
0,3.3,-5.9,0,0
0,2.3,-2.2,0,0
0,3.1,-3.6,0,0
0,3.8,-4.3,0,0
0,3.3,-2.3,0,0
0,4.3,-3.2,0,0
0,3.7,-2,0,0
0,8.7,-5.7,0,0
0,7.1,-4.8,39,0
0,6.3,-5.3,94,0
0,6.3,-3.7,56,0
0,9.5,-0.9,92,0
0,9.4,-0.1,26,0
0,7.6,0.6,100,0
0,8.4,0.1,99,0
0,10.1,-1.6,59,0
0,13.4,-3.2,88,0
0,15.6,-4,100,0
0,16.4,-3.7,100,0
0,18,-3.3,100,0
0,17.1,-3.2,100,0
0,15.2,-3.2,100,0
0,15.4,-2.8,100,0
0,13.6,-2.5,100,0
0,10.2,-2.7,100,0
0,8.8,-2.8,100,0
0,7.3,-2.7,100,0
0,6.6,-2.8,100,0
0,7.3,-2.8,100,0
0,8.5,-2.9,100,0
0,9.1,-3,100,0
0,7.7,-3.2,100,0
0,7,-3.2,100,0
0,7.8,-3.3,100,0
0,8.7,-3.2,100,0
0,7.7,-3,100,0
0,6.5,-2.7,100,0
0,7.1,-2.5,100,0
0,8.2,-2.5,100,0
0,7.5,-3.1,100,0
0,6.1,-3,100,0
0.1,5.7,-3,100,0
0.1,5.7,-3,100,0
0.2,7.3,-2.8,100,0
0,6.6,-2.7,100,0
0,8.3,-2.5,100,0
0,10.7,-2.2,100,0
0,11.8,-2,100,0
0,13.2,-1.9,100,0
0,10.6,-1.8,100,0
0.2,10.8,-1.5,100,0
0.1,13.3,-2.3,100,0
0.1,12.2,-2.2,100,0
0.1,12.2,-2.2,100,0
0,14,-2.2,100,0
0,15.2,-2.1,100,0
0,16.6,-2.1,100,0
0.1,17,-2,100,0
0.1,16.7,-2,100,0
0.1,17.7,-1.8,100,0
0.2,18.5,-1.6,100,0
0.2,19.1,-1.2,100,0
0.2,20.1,-1,100,0
0.3,17.8,-1.5,100,0
0.3,20.8,-1.5,100,0
0.1,21.2,-1.5,100,0
0.2,20.5,-1.6,100,0
0.1,20.7,-1.6,100,0
0.3,19.8,-1.6,100,0
0.4,21.7,-1.5,100,0
0,21.5,-1.5,100,0
0,22.6,-1.6,100,0
0,21.8,-1.6,100,0
0,22.1,-1.6,100,0
0,22.1,-1.5,100,0
0.4,20.2,-1.8,100,0.21
0.3,20.7,-1.7,100,0.35
0.3,18.8,-1.6,100,0.35
0.3,18.8,-1.6,100,0.28
0.1,18.4,-1.5,100,0.21
0,21.7,-1.5,100,0.07
0,20.6,-1.5,100,0.07
0,19.8,-1.5,100,0
0,19.1,-1.4,100,0
0,18.5,-1.3,100,0.07
0.1,15.7,-1.4,100,0.07
0,18.9,-1.1,100,0.14
0.1,15.9,-1.6,100,0.07
0.3,16.7,-1.7,100,0.49
0.3,18.7,-1.6,100,0.63
0.4,17.7,-1.8,100,0.42
0,20.3,-2.1,100,0.07
0,18.1,-2.5,100,0.14
0.2,18,-2.5,100,0.7
0.1,18.7,-2.5,100,0.84
0.1,20.6,-2.7,100,0.63
0,18.6,-2.8,100,0.14
0,19.7,-2.9,100,0.07
0,21.4,-3,100,0.28
0,21.7,-3,100,0.21
0,22.5,-3,100,0
0,20.9,-2.8,100,0.14
0,20.9,-2.8,100,0.14
0,19,-2.7,100,0.14
0,19.6,-2.8,100,0.07
0,19.1,-2.7,100,0.14
0,20.1,-2.8,100,0.21
0,19.6,-2.8,100,0.07
0,20.9,-2.9,100,0.07
0,21.3,-2.7,100,0
0,21.4,-2.6,100,0
0,21.4,-2.7,100,0.14
0,19.7,-2.7,100,0.21
0,19.8,-3,100,0.42
0,16.8,-3.2,100,0.84
0,22.3,-3.1,100,0.98
0,22,-3,99,0.14
0,21.2,-3.2,93,0.21
0,18.7,-3.6,100,0.21
0,20.6,-3.5,100,0.21
0,20.2,-3.3,97,0.21
0,21.3,-3.4,91,0.42
