Rainmm,WindSpeedkmPerH,TemperatureDegreeCelcius,CloudCoverPercentage,Snowfallcm
0.0,15.9,3.1,100.0,0.0
0.0,8.6,-5.4,74.0,0.0
0.0,4.4,2.5,3.0,0.0
0.0,15.7,1.5,89.0,0.0
0.0,3.5,-0.1,0.0,0.0
0.0,22.7,-2.2,10.0,0.0
0.0,3.6,13.0,100.0,0.0
0.0,12.1,2.4,95.0,0.0
0.0,0.0,4.3,77.0,0.0
0.0,11.3,20.5,0.0,0.0
0.0,5.6,-4.6,95.0,0.0
0.0,9.4,9.3,30.0,0.0
0.0,4.2,11.6,10.0,0.0
0.0,21.0,7.3,93.0,0.0
0.1,10.9,10.9,98.0,0.0
0.0,7.2,-1.0,100.0,0.0
0.0,12.9,12.2,99.0,0.0
0.0,0.0,17.2,0.0,0.0
0.0,4.9,12.0,63.0,0.0
0.1,11.5,3.8,73.0,0.0
0.0,21.2,12.8,100.0,0.0
0.0,17.5,16.5,98.0,0.0
0.0,16.6,2.9,99.0,0.0
6.1,17.1,11.7,100.0,0.0
0.0,9.8,-4.3,76.0,0.6
0.0,14.8,3.2,71.0,0.0
0.0,9.7,6.7,99.0,0.0
0.0,2.9,-11.2,0.0,0.0
6.1,32.1,14.9,97.0,0.0
0.0,10.1,5.8,52.0,0.0
0.0,15.0,1.1,97.0,0.0
0.0,8.7,29.0,53.0,0.0
0.0,9.6,6.7,92.0,0.0
0.0,11.0,11.0,86.0,0.0
0.0,6.2,5.8,19.0,0.0
0.0,16.1,0.9,73.0,0.0
0.0,9.2,6.2,72.0,0.0
0.0,9.4,-0.3,99.0,0.0
0.0,11.5,29.0,26.0,0.0
0.0,14.5,-0.7,97.0,0.0
0.0,14.2,3.4,72.0,0.0
0.0,20.0,7.4,100.0,0.0
0.0,8.6,6.4,70.0,0.0
0.0,18.1,-3.6,100.0,0.6
0.0,8.1,7.7,94.0,0.0
0.0,17.4,17.1,100.0,0.0
0.0,11.2,-0.9,4.0,0.0
0.0,21.0,2.3,73.0,0.0
0.0,4.5,7.0,93.0,0.0
0.0,8.0,-1.4,66.0,0.7
0.0,4.5,-1.6,12.0,0.0
0.0,7.3,14.9,31.0,0.0
0.0,2.3,3.1,0.0,0.0
0.0,3.3,17.7,0.0,0.0
0.0,7.9,16.2,93.0,0.0
0.0,8.6,13.5,76.0,0.0
0.0,3.4,-2.6,1.0,0.0
0.0,9.6,4.5,74.0,0.0
0.0,7.1,0.1,53.0,0.0
0.0,9.4,11.3,73.0,0.0
0.0,19.2,-1.4,100.0,0.0
0.0,3.8,4.4,2.0,0.0
0.0,13.6,2.6,96.0,0.0
0.0,7.2,11.3,99.0,0.0
0.0,12.9,4.0,99.0,0.0
0.0,13.8,0.9,100.0,0.0
0.0,13.1,1.8,95.0,0.0
0.0,4.5,2.8,96.0,0.0
0.0,9.3,-0.9,13.0,0.0
0.0,13.0,16.3,94.0,0.0
0.0,5.7,14.2,9.0,0.0
0.0,2.3,14.3,100.0,0.0
0.0,14.5,13.4,97.0,0.0
0.0,5.4,-0.5,100.0,0.0
0.0,15.0,-3.7,72.0,0.0
