Rainmm,WindSpeedkmPerH,TemperatureDegreeCelcius,CloudCoverPercentage,Snowfallcm
0.0,5.3,15.0,46.0,0.0
0.0,22.2,9.9,76.0,0.0
0.0,9.4,23.91445159142895,100.0,0.0
0.0,6.1,20.5,100.0,0.0
0.0,8.0,8.7,100.0,0.0
0.0,6.4,15.8,100.0,0.0
0.0,9.8,1.9,100.0,0.0
0.0,9.4,24.0,15.0,0.0
0.1,12.5,10.9,100.0,0.0
0.1,13.1,10.6,31.0,0.0
0.0,8.7,4.3,40.0,0.0
0.0,14.6,8.1,100.0,0.0
0.0,17.7,-1.1,100.0,0.0
0.9,21.2,0.9,100.0,0.0
0.3,20.8,5.3,100.0,0.0
0.1,3.6,10.5,0.0,0.0
0.0,17.1,23.06424872839998,62.0,0.0
0.1,14.7,14.3,23.0,0.0
0.0,6.6,8.9,57.0,0.0
0.0,11.1,9.9,14.0,0.0
0.0,11.0,13.4,6.0,0.0
0.0,11.2,8.8,100.0,0.0
0.1,10.9,7.2,100.0,0.0
0.0,4.3,10.1,1.0,0.0
0.0,11.2,14.2,100.0,0.0
0.1,9.4,13.1,97.0,0.0
0.0,16.0,12.7,26.0,0.0
0.0,19.1,16.6,100.0,0.0
0.0,6.7,2.2,100.0,0.21
0.0,18.9,1.0,100.0,0.07
0.0,10.3,20.6,0.0,0.0
0.0,17.4,5.7,100.0,0.0
0.0,12.6,13.1,100.0,0.0
0.1,11.1,18.4,100.0,0.0
0.0,5.2,10.6,100.0,0.0
0.0,16.3,0.9,100.0,0.0
0.0,18.3,9.6,100.0,0.0
0.1,16.7,9.2,97.0,0.0
0.0,21.8,13.8,0.0,0.0
0.0,10.7,11.7,0.0,0.0
0.1,9.2,11.8,5.0,0.0
0.0,13.5,16.0,0.0,0.0
0.0,18.9,19.1,55.0,0.0
0.0,15.6,14.6,0.0,0.0
1.6,27.5,5.6,97.0,0.0
0.0,7.4,15.8,74.0,0.0
0.0,20.2,8.8,0.0,0.0
0.0,11.0,9.1,0.0,0.0
0.6,15.7,2.3,97.0,0.0
0.0,12.6,-2.5,100.0,0.0
0.0,9.7,1.4,100.0,0.0
1.2,15.9,9.4,12.0,0.0
0.0,0.8,7.6,74.0,0.0
0.1,20.7,7.2,99.0,0.0
0.0,13.3,-5.0,27.0,0.0
0.0,19.7,0.2,8.0,0.35
0.0,5.9,19.6,100.0,0.0
0.0,7.9,16.602839150946238,99.0,0.0
0.3,12.7,12.1,46.0,0.0
0.1,4.6,15.6,30.0,0.0
1.0,1.5,8.2,95.0,0.0
0.1,17.9,-4.2,100.0,0.0
0.0,15.3,4.3,98.0,0.0
0.0,4.0,9.6,50.0,0.0
0.0,13.4,16.4,2.0,0.0
0.0,12.8,8.8,100.0,0.0
0.3,7.3,17.8,0.0,0.0
0.1,11.5,11.4,72.0,0.0
0.0,16.6,23.0,73.0,0.0
0.0,5.2,11.9,100.0,0.0
0.0,14.4,-3.5,95.0,0.0
0.3,11.6,14.2,10.0,0.0
0.0,12.0,16.4,0.0,0.0
0.0,16.6,18.6,91.0,0.0
0.0,5.0,12.4,100.0,0.0
0.0,9.9,8.4,36.0,0.0
0.0,9.8,11.9,100.0,0.0
0.0,13.9,8.9,100.0,0.0
0.0,9.3,-4.1,46.0,0.0
0.0,11.232112453927401,16.6,54.0,0.0
0.3,15.9,18.1,99.0,0.0
0.0,22.6,15.2,8.0,0.0
0.0,7.6,24.0,97.0,0.0
0.0,7.915838311190601,13.8,75.0,0.0
0.0,11.1,8.1,16.0,0.0
0.4,18.1,1.1,97.0,0.0
0.3,16.3,9.9,100.0,0.0
0.1,8.9,0.4,100.0,0.0
0.0,6.5,13.5,90.0,0.07
0.0,15.5,10.4,3.0,0.0
0.2,15.7,2.8,73.0,0.0
0.0,7.7,5.7,1.0,0.0
0.0,6.0,-1.6,100.0,0.0
0.0,10.4,0.5,100.0,0.0
0.3,23.7,2.2,32.0,0.0
0.1,12.4,-4.3,99.0,0.0
0.0,10.4,-4.1,100.0,0.0
0.0,17.8,11.1,52.0,0.0
0.0,8.2,2.6,100.0,0.0
0.0,2.3,8.8,99.0,0.0
